Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Transaction ID,Itemization Type
31/10/2024,21:04:17,None,Gloss Varnish,1,$4.54,$0.00,$4.54,tTLhKwqkeQdKhFkiDwx1nSgeV,Service
31/10/2024,19:33:34,Couple,Couple – Resting Bear,1,$50.00,-$50.00,$0.00,5h5u4ZiZIQy9R2wUgF7wHtneV,Physical Good
31/10/2024,16:02:02,Halloween,Halloween - Mel,1,$40.84,$0.00,$40.84,fojshKFmmZJAzsSussxFS6meV,Physical Good
31/10/2024,14:40:41,None,Gloss Varnish,1,$4.54,$0.00,$4.54,xVvfSRQEFmocQsmBldtxnf6eV,Service
31/10/2024,14:16:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,9dQvS50gRfuvbEA3GQH79wseV,Service
31/10/2024,14:16:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,9dQvS50gRfuvbEA3GQH79wseV,Service
31/10/2024,13:31:06,None,Take-home kit,1,$2.72,$0.00,$2.72,xfYFKscAAcE5RZOx9fUcZNfeV,Physical Good
31/10/2024,13:11:30,Sanrio,Cina - Queen,1,$40.84,$0.00,$40.84,VZwt3Heptpoeofu3Mga01s1eV,Physical Good
31/10/2024,13:11:30,Sanrio,Cina,1,$36.31,$0.00,$36.31,VZwt3Heptpoeofu3Mga01s1eV,Physical Good
31/10/2024,12:57:48,Sanrio,Pompom,1,$40.84,$0.00,$40.84,VFUsRWclg54eYzbKb6XQLDheV,Physical Good
31/10/2024,12:57:04,Couple,Couple – Resting Bear,1,$45.38,$0.00,$45.38,NpsqT0edItHSTKl3v7XTc8xeV,Physical Good
31/10/2024,12:04:52,Beverages,Drink - Yellow Red Bull,1,$4.74,-$2.20,$2.54,dPzqnzhvk9Ky9VsPjoFXjm8eV,Physical Good
30/10/2024,20:58:49,None,Gloss Varnish,1,$4.54,$0.00,$4.54,dnNZXRDC5FkqZxjjl90c3rteV,Service
30/10/2024,20:39:26,None,Gloss Varnish,1,$4.54,$0.00,$4.54,RZx9ZEitTmd0Mr40YBG1m0qeV,Service
30/10/2024,19:48:56,None,Sleepy Sparkle,1,$36.36,$0.00,$36.36,pXgqKwExhLMmDTNGeUeZQN3eV,Physical Good
30/10/2024,18:53:17,None,Sleepy Sparkle,1,$36.86,-$6.00,$30.86,PElY3604C9yEKuPmmbXfx68eV,Physical Good
30/10/2024,18:52:38,None,Sleepy Sparkle,1,$36.86,-$6.00,$30.86,hdR8MC2pBLhjUhs9rT4dU84eV,Physical Good
30/10/2024,16:56:44,None,Amelia’s birthday,1,$350.00,$0.00,$350.00,tfjuzzuw6NWFSoiWvczUneCzSlXZY,
30/10/2024,16:29:44,None,Gloss Varnish,1,$4.54,$0.00,$4.54,5nqdSUGjuNYDL760K9uZDQpeV,Service
30/10/2024,16:29:44,None,Gloss Varnish,1,$4.54,$0.00,$4.54,5nqdSUGjuNYDL760K9uZDQpeV,Service
30/10/2024,16:17:28,None,Custom Amount,1,$45.38,$0.00,$45.38,xzmPInR3jlbTl1CMCubdw66eV,
30/10/2024,16:17:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,xzmPInR3jlbTl1CMCubdw66eV,Service
30/10/2024,16:17:28,None,Gloss Varnish,1,$4.54,$0.00,$4.54,xzmPInR3jlbTl1CMCubdw66eV,Service
30/10/2024,16:16:52,None,Rabbit – Fish,1,$36.31,$0.00,$36.31,tLNcARGzojB5GcxhvtZcGOreV,Physical Good
30/10/2024,15:35:24,None,Bowtie Cat - School Girl,1,$40.85,$0.00,$40.85,7UyqqpgYddubL2wh2L85yRteV,Physical Good
30/10/2024,15:35:24,Raws/Kaws,Raws - Furry,1,$45.38,$0.00,$45.38,7UyqqpgYddubL2wh2L85yRteV,Physical Good
30/10/2024,14:04:17,None,Piggy – Bottle,1,$36.31,$0.00,$36.31,T2372KVnVxpvemntw3HvhlveV,Physical Good
30/10/2024,14:04:02,None,Capybara - Chicken Hat,1,$45.38,$0.00,$45.38,thGVxJqOjCOzRWTN8Q5OaJzeV,Physical Good
29/10/2024,17:37:42,Beverages,Drink - Lipton LEMON,1,$4.74,-$2.20,$2.54,R996rpovq20PGNxkgMAPw34eV,Physical Good
29/10/2024,17:32:42,None,Gloss Varnish,1,$4.54,$0.00,$4.54,zAw3LpHLLfZfozPMTnV1iIfeV,Service
29/10/2024,17:32:42,None,Gloss Varnish,1,$4.54,$0.00,$4.54,zAw3LpHLLfZfozPMTnV1iIfeV,Service
29/10/2024,15:12:20,Beverages,Drink - Lipton PEACH,1,$4.54,$0.00,$4.54,PMVQKtBaXTS5JgMegbSYPP5eV,Physical Good
