Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Transaction ID,Itemization Type
31/05/2024,22:05:35,None,pokemon - icecream,1,$36.31,$0.00,$36.31,BJ9V50kLQqGu7x5efYgNMy2eV,Physical Good
31/05/2024,22:04:02,None,Gloss Varnish,1,$4.54,$0.00,$4.54,708T2Wp46tYc7sheLsFRLVzeV,Service
31/05/2024,22:03:51,None,Gloss Varnish,1,$4.54,$0.00,$4.54,DUOt0ZRUW6lobA8onEIfhSleV,Service
31/05/2024,21:37:12,Kuromi,Kuromi - Dragon,1,$40.84,$0.00,$40.84,hb4WB7awN080OaQRyzRDXF5eV,Physical Good
31/05/2024,21:37:12,None,teddy bear,1,$36.31,$0.00,$36.31,hb4WB7awN080OaQRyzRDXF5eV,Physical Good
31/05/2024,21:07:30,None,Mini Lotso Bear,1,$36.31,$0.00,$36.31,Dibgc3Owiqn7cOVHbThowu5eV,Physical Good
31/05/2024,21:07:30,None,Pikachu on Saturn,1,$40.84,$0.00,$40.84,Dibgc3Owiqn7cOVHbThowu5eV,Physical Good
31/05/2024,21:00:47,None,Teddy With Tote,1,$36.30,$0.00,$36.30,9NyKT4O9k5miM2GUmZivOtmeV,Physical Good
31/05/2024,21:00:47,None,Chicken Mama,1,$36.31,$0.00,$36.31,9NyKT4O9k5miM2GUmZivOtmeV,Physical Good
31/05/2024,20:56:03,Beverages,Water - Bottle,1,$2.72,$0.00,$2.72,1peaiRLzcbNEyHfS22j63ogeV,Physical Good
31/05/2024,20:55:16,None,Gloss Varnish,1,$4.54,$0.00,$4.54,7A0CfLOoAHM9ShqdCFsOLsqeV,Service
31/05/2024,20:55:16,None,Gloss Varnish,1,$4.54,$0.00,$4.54,7A0CfLOoAHM9ShqdCFsOLsqeV,Service
31/05/2024,20:46:14,None,Skullpanda - Raining Day,1,$54.46,$0.00,$54.46,lxY9x4ukIDIX8lmwoA1MXB8eV,Physical Good
31/05/2024,20:45:48,Skull Panda,Skull Panda 5,1,$40.84,$0.00,$40.84,l14WSeMPlI3dVCo6FGPk9LkeV,Physical Good
31/05/2024,20:38:13,None,Gloss Varnish,1,$4.54,$0.00,$4.54,nKUZx3ZLZ7T9Gvtb8ejojh5eV,Service
31/05/2024,20:20:50,None,baa baa sheep,1,$36.31,$0.00,$36.31,5He5LIxrtKJr1ZagtsI9Vw0eV,Physical Good
31/05/2024,20:20:27,None,Prism Bear,1,$45.38,$0.00,$45.38,VByUlOe5TsoqamNIjm2vfureV,Physical Good
