Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Transaction ID,Itemization Type
30/04/2024,21:56:22,None,Drink - Banana Milk,1,$3.41,$0.00,$3.41,DkMUUU6v13LWRP7XdHleDbxeV,Physical Good
30/04/2024,21:36:48,None,Gloss Varnish,1,$4.55,$0.00,$4.55,LyjLn6AZe5XYXMftUzdKx8jeV,Service
30/04/2024,21:36:48,None,Gloss Varnish,1,$4.54,$0.00,$4.54,LyjLn6AZe5XYXMftUzdKx8jeV,Service
30/04/2024,21:36:48,None,Gloss Varnish,1,$4.55,$0.00,$4.55,LyjLn6AZe5XYXMftUzdKx8jeV,Service
30/04/2024,20:26:16,None,Gloss Varnish,1,$4.54,$0.00,$4.54,rsQZkswaxSb5a1iPoQyxh23j8NeZY,Service
30/04/2024,20:26:16,None,Rabbit - Beanie 2,1,$40.91,$0.00,$40.91,rsQZkswaxSb5a1iPoQyxh23j8NeZY,Physical Good
30/04/2024,20:21:22,Couple,Couple - Cat,1,$50.00,$0.00,$50.00,zQsZpIMXhg34kPoGe8HSX19eV,Physical Good
30/04/2024,20:21:22,None,Gloss Varnish,1,$4.55,$0.00,$4.55,zQsZpIMXhg34kPoGe8HSX19eV,Service
30/04/2024,20:17:49,None,Tea - 0 degree,1,$4.09,$0.00,$4.09,FLf2RuJAp5oVOfiUhMIqQU4eV,Physical Good
30/04/2024,20:16:31,None,Cat Lady - Bottle,1,$36.36,$0.00,$36.36,xR5XFuggSqaZir46Qdc3p63eV,Physical Good
30/04/2024,20:16:31,Skull Panda,Skull Panda 1,1,$40.91,$0.00,$40.91,xR5XFuggSqaZir46Qdc3p63eV,Physical Good
30/04/2024,20:16:31,None,Baby Dragon,1,$40.91,$0.00,$40.91,xR5XFuggSqaZir46Qdc3p63eV,Physical Good
30/04/2024,20:04:04,None,Drink - Banana Milk,1,$3.41,$0.00,$3.41,9rNWOqJoKT1XqUHNNnL6og0eV,Physical Good
30/04/2024,20:03:34,None,Stitch - Hat,1,$40.90,$0.00,$40.90,5tVBMTxQCIo7ZhZFgL96pGoT7E9YY,Physical Good
30/04/2024,20:03:34,None,Gloss Varnish,1,$4.55,$0.00,$4.55,5tVBMTxQCIo7ZhZFgL96pGoT7E9YY,Service
30/04/2024,19:48:34,Piggy,Piggy The Queen,1,$36.36,$0.00,$36.36,XWAahf7puYXpQhbfT71QodreV,Physical Good
30/04/2024,19:48:34,None,Gloss Varnish,1,$4.55,$0.00,$4.55,XWAahf7puYXpQhbfT71QodreV,Service
30/04/2024,19:48:04,None,Ducky - Star,1,$40.91,$0.00,$40.91,DcwmrIAQBvXbpuI0Km9fZHfeV,Physical Good
30/04/2024,19:31:39,None,Gloss Varnish,1,$4.54,$0.00,$4.54,V9OPC3fNq471oE5QHaU9AyogSfTZY,Service
